Date,NewPositive,Tested,Nt,Ct,nt,ct,Dnt,Dct,Weekday,Month,Year,Day
2021-03-14,        488,    134.738,134738,488,11.81108743100238,6.1903154058531475,0.024158014015343454,0.048278000265791654,Sunday,March,2021,7
2021-03-15,        642,    188.321,188321,642,12.145903232590456,6.464588303689961,0.33481580158807667,0.27427289783681363,Monday,March,2021,1
2021-03-16,        743,    179.905,179905,743,12.100184212770856,6.610696044717759,-0.04571901981960025,0.146107741027798,Tuesday,March,2021,2
2021-03-17,        674,    167.816,167816,674,12.030623420078626,6.513230110912307,-0.06956079269222926,-0.09746593380545221,Wednesday,March,2021,3
2021-03-18,        654,    193.846,193846,654,12.17481930837496,6.483107351457199,0.14419588829633412,-0.030122759455108117,Thursday,March,2021,4
2021-03-19,        648,    164.799,164799,648,12.012481828477933,6.473890696352274,-0.16233747989702785,-0.00921665510492442,Friday,March,2021,5
2021-03-20,        584,    130.659,130659,584,11.780346154913747,6.369900982828227,-0.2321356735641853,-0.10398971352404729,Saturday,March,2021,6
2021-03-21,        564,    135.468,135468,564,11.816490729049548,6.335054251498059,0.03614457413580041,-0.03484673133016791,Sunday,March,2021,7
2021-03-22,        786,    187.780,187780,786,12.143026343812538,6.666956792429207,0.32653561476299053,0.33190254093114735,Monday,March,2021,1
2021-03-23,        814,    180.908,180908,814,12.105743893733369,6.70196036600254,-0.03728245007916975,0.03500357357333339,Tuesday,March,2021,2
2021-03-24,        786,    173.667,173667,786,12.064894951451349,6.666956792429207,-0.04084894228201996,-0.03500357357333339,Wednesday,March,2021,3
2021-03-25,        643,    191.865,191865,643,12.164547278701603,6.466144724237619,0.0996523272502543,-0.20081206819158748,Thursday,March,2021,4
2021-03-26,        711,    175.053,175053,711,12.072844064196541,6.566672429803241,-0.09170321450506158,0.10052770556562152,Friday,March,2021,5
2021-03-27,        675,    120.350,120350,675,11.698159443211217,6.51471269087253,-0.37468462098532385,-0.051959738930710486,Saturday,March,2021,6
2021-03-28,        613,    123.458,123458,613,11.723656296237861,6.418364935936212,0.025496853026643507,-0.09634775493631853,Sunday,March,2021,7
2021-03-29,        775,    187.581,187581,775,12.141966031107467,6.652863029353347,0.4183097348696059,0.23449809341713568,Monday,March,2021,1
2021-03-30,        680,    194.732,194732,680,12.179379533274012,6.522092798170152,0.0374135021665456,-0.1307702311831953,Tuesday,March,2021,2
2021-03-31,        693,    194.865,194865,693,12.180062290097943,6.541029999189903,0.0006827568239309301,0.01893720101975127,Wednesday,March,2021,3
2021-04-01,        713,    139.653,139653,713,11.846916053419703,6.569481420414296,-0.3331462366782407,0.028451421224392703,Thursday,April,2021,4
2021-04-02,        551,    113.863,113863,551,11.642751250304814,6.311734809152915,-0.20416480311488883,-0.2577466112613811,Friday,April,2021,5
2021-04-03,        527,    128.678,128678,527,11.765068438801341,6.267200548541362,0.1223171884965275,-0.04453426061155241,Saturday,April,2021,6
2021-04-04,        463,    166.342,166342,463,12.021801188916585,6.137727054086234,0.2567327501152441,-0.12947349445512835,Sunday,April,2021,7
2021-04-05,        558,    179.399,179399,558,12.097367654455288,6.324358962381311,0.07556646553870294,0.1866319082950767,Monday,April,2021,1
2021-04-06,        705,    208.209,208209,705,12.246297661894422,6.558197802812269,0.14893000743913376,0.23383884043095815,Tuesday,April,2021,2
2021-04-07,        722,    176.614,176614,722,12.081721839208072,6.582025138892826,-0.1645758226863503,0.023827336080556982,Wednesday,April,2021,3
2021-04-08,        725,    192.859,192859,725,12.169714630942565,6.586171654854675,0.08799279173449293,0.004146515961848785,Thursday,April,2021,4
2021-04-09,        726,    172.698,172698,726,12.059299683291801,6.587550014824796,-0.11041494765076365,0.0013783599701211457,Friday,April,2021,5
2021-04-10,        552,    151.559,151559,552,11.928730267063791,6.313548046277095,-0.13056941622800977,-0.27400196854770087,Saturday,April,2021,6
2021-04-11,        538,    154.063,154063,538,11.945116888649986,6.2878585601617845,0.01638662158619475,-0.025689486115310523,Sunday,April,2021,7
2021-04-12,        768,    204.536,204536,768,12.22849927809173,6.643789733147672,0.2833823894417442,0.35593117298588783,Monday,April,2021,1
2021-04-13,        744,    190.850,190850,744,12.159243058173375,6.612041034833092,-0.06925621991835484,-0.031748698314580714,Tuesday,April,2021,2
2021-04-14,        729,    182.677,182677,729,12.115474845005124,6.591673732008658,-0.04376821316825108,-0.02036730282443333,Wednesday,April,2021,3
2021-04-15,        733,    201.282,201282,733,12.212462188851843,6.597145701886651,0.09698734384671859,0.005471969877993033,Thursday,April,2021,4
2021-04-16,        707,    167.799,167799,707,12.030522113521918,6.561030665896573,-0.1819400753299245,-0.03611503599007815,Friday,April,2021,5
2021-04-17,        657,    142.504,142504,657,11.867125348472321,6.48768401848461,-0.16339676504959755,-0.07334664741196306,Saturday,April,2021,6
2021-04-18,        715,    152.068,152068,715,11.93208306821005,6.5722825426940075,0.06495771973772868,0.0845985242093974,Sunday,April,2021,7
2021-04-19,        873,    200.155,200155,873,12.206847345372745,6.771935555839602,0.2747642771626957,0.19965301314559447,Monday,April,2021,1
2021-04-20,        845,    189.176,189176,845,12.150433077659494,6.739336627357174,-0.056414267713250865,-0.03259892848242796,Tuesday,April,2021,2
2021-04-21,        697,    187.453,187453,697,12.141283426303795,6.546785410760524,-0.009149651355699007,-0.19255121659664987,Wednesday,April,2021,3
2021-04-22,        638,    224.476,224476,638,12.321524076218155,6.45833828334479,0.18024064991436006,-0.08844712741573435,Thursday,April,2021,4
2021-04-23,        626,    180.561,180561,626,12.103823949801292,6.439350371100098,-0.21770012641686343,-0.01898791224469143,Friday,April,2021,5
2021-04-24,        567,    139.579,139579,567,11.846386028195285,6.340359303727752,-0.257437921606007,-0.09899106737234664,Saturday,April,2021,6
2021-04-25,        600,    152.632,152632,600,11.935785074407146,6.396929655216146,0.08939904621186123,0.05657035148839462,Sunday,April,2021,7
2021-04-26,        775,    193.741,193741,775,12.17427749452378,6.652863029353347,0.23849242011663385,0.25593337413720096,Monday,April,2021,1
2021-04-27,        896,    179.121,179121,896,12.09581683410654,6.79794041297493,-0.07846066041724065,0.14507738362158307,Tuesday,April,2021,2
2021-04-28,        811,    185.265,185265,811,12.129542511540224,6.698268054115413,0.03372567743368471,-0.0996723588595172,Wednesday,April,2021,3
2021-04-29,        806,    226.852,226852,806,12.332053101451747,6.692083742506628,0.2025105899115225,-0.006184311608785187,Thursday,April,2021,4
2021-04-30,        761,    136.200,136200,761,11.821879672697548,6.634633357861686,-0.5101734287541984,-0.0574503846449419,Friday,April,2021,5
2021-05-01,        694,    130.872,130872,694,11.781975025274008,6.542471960506805,-0.039904647423540496,-0.09216139735488138,Saturday,May,2021,6
2021-05-02,        714,    151.394,151394,714,11.9276409890813,6.570882962339584,0.1456659638072928,0.028411001832779448,Sunday,May,2021,7
2021-05-03,      1.022,    190.632,190632,1022,12.158100146981077,6.92951677076365,0.23045915789977656,0.35863380842406567,Monday,May,2021,1
