"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"sort_Var";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-U11;20-39;2. stik;10;2;32105;31,15
2021-U11;20-39;3. stik;0;3;2;0,00
2021-U11;40-64;Uvaccinerede;1334;0;1687415;79,06
2021-U11;40-64;1. stik;79;1;144399;54,71
2021-U11;40-64;2. stik;13;2;75407;17,24
2021-U11;40-64;3. stik;0;3;4;0,00
2021-U11;65-79;Uvaccinerede;223;0;779805;28,60
2021-U11;65-79;1. stik;18;1;76553;23,51
2021-U11;65-79;2. stik;5;2;31022;16,12
2021-U11;65-79;3. stik;0;3;6;0,00
2021-U11;80+;Uvaccinerede;26;0;111063;23,41
2021-U11;80+;1. stik;19;1;108465;17,52
2021-U11;80+;2. stik;3;2;40109;7,48
2021-U11;80+;3. stik;0;3;2;0,00
2021-U12;5-11;Uvaccinerede;566;0;436557;129,65
2021-U12;5-11;1. stik;0;1;1;0,00
2021-U12;5-11;2. stik;0;2;0;0,00
2021-U12;5-11;3. stik;0;3;0;0,00
2021-U12;12-15;Uvaccinerede;277;0;298948;92,66
2021-U12;12-15;1. stik;0;1;70;0,00
2021-U12;12-15;2. stik;0;2;7;0,00
2021-U12;12-15;3. stik;0;3;0;0,00
2021-U12;16-19;Uvaccinerede;355;0;275813;128,71
2021-U12;16-19;1. stik;1;1;2892;34,58
2021-U12;16-19;2. stik;0;2;898;0,00
2021-U12;16-19;3. stik;0;3;0;0,00
2021-U12;20-39;Uvaccinerede;1675;0;1389341;120,56
2021-U12;20-39;1. stik;45;1;72683;61,91
2021-U12;20-39;2. stik;9;2;33545;26,83
2021-U12;20-39;3. stik;0;3;4;0,00
2021-U12;40-64;Uvaccinerede;1542;0;1677966;91,90
2021-U12;40-64;1. stik;78;1;150410;51,86
2021-U12;40-64;2. stik;25;2;78841;31,71
2021-U12;40-64;3. stik;0;3;8;0,00
2021-U12;65-79;Uvaccinerede;256;0;769520;33,27
2021-U12;65-79;1. stik;23;1;83369;27,59
2021-U12;65-79;2. stik;3;2;34487;8,70
2021-U12;65-79;3. stik;0;3;10;0,00
2021-U12;80+;Uvaccinerede;31;0;87542;35,41
2021-U12;80+;1. stik;21;1;101253;20,74
2021-U12;80+;2. stik;9;2;70837;12,71
2021-U12;80+;3. stik;0;3;8;0,00
2021-U13;5-11;Uvaccinerede;438;0;436557;100,33
2021-U13;5-11;1. stik;0;1;2;0,00
2021-U13;5-11;2. stik;0;2;0;0,00
2021-U13;5-11;3. stik;0;3;0;0,00
2021-U13;12-15;Uvaccinerede;239;0;298946;79,95
2021-U13;12-15;1. stik;0;1;70;0,00
2021-U13;12-15;2. stik;0;2;9;0,00
2021-U13;12-15;3. stik;0;3;0;0,00
2021-U13;16-19;Uvaccinerede;365;0;275600;132,44
2021-U13;16-19;1. stik;1;1;2958;33,81
2021-U13;16-19;2. stik;0;2;1046;0,00
2021-U13;16-19;3. stik;0;3;0;0,00
2021-U13;20-39;Uvaccinerede;1456;0;1385999;105,05
2021-U13;20-39;1. stik;31;1;73436;42,21
2021-U13;20-39;2. stik;10;2;36134;27,67
2021-U13;20-39;3. stik;0;3;4;0,00
2021-U13;40-64;Uvaccinerede;1351;0;1667871;81,00
2021-U13;40-64;1. stik;69;1;152606;45,21
2021-U13;40-64;2. stik;10;2;86737;11,53
2021-U13;40-64;3. stik;0;3;10;0,00
2021-U13;65-79;Uvaccinerede;232;0;739846;31,36
2021-U13;65-79;1. stik;29;1;101054;28,70
2021-U13;65-79;2. stik;8;2;46477;17,21
2021-U13;65-79;3. stik;0;3;10;0,00
2021-U13;80+;Uvaccinerede;28;0;53924;51,92
2021-U13;80+;1. stik;20;1;99220;20,16
2021-U13;80+;2. stik;9;2;106488;8,45
2021-U13;80+;3. stik;0;3;8;0,00
2021-U14;5-11;Uvaccinerede;361;0;436556;82,69
2021-U14;5-11;1. stik;0;1;2;0,00
2021-U14;5-11;2. stik;0;2;0;0,00
2021-U14;5-11;3. stik;0;3;0;0,00
2021-U14;12-15;Uvaccinerede;278;0;298945;92,99
2021-U14;12-15;1. stik;0;1;64;0,00
2021-U14;12-15;2. stik;0;2;16;0,00
2021-U14;12-15;3. stik;0;3;0;0,00
2021-U14;16-19;Uvaccinerede;469;0;275399;170,30
2021-U14;16-19;1. stik;5;1;2895;172,71
2021-U14;16-19;2. stik;2;2;1310;152,67
2021-U14;16-19;3. stik;0;3;0;0,00
2021-U14;20-39;Uvaccinerede;1541;0;1383337;111,40
2021-U14;20-39;1. stik;43;1;72331;59,45
2021-U14;20-39;2. stik;15;2;39900;37,59
2021-U14;20-39;3. stik;0;3;4;0,00
2021-U14;40-64;Uvaccinerede;1321;0;1660374;79,56
2021-U14;40-64;1. stik;64;1;147171;43,49
2021-U14;40-64;2. stik;27;2;99667;27,09
2021-U14;40-64;3. stik;0;3;12;0,00
2021-U14;65-79;Uvaccinerede;241;0;684007;35,23
2021-U14;65-79;1. stik;22;1;134882;16,31
2021-U14;65-79;2. stik;8;2;68485;11,68
2021-U14;65-79;3. stik;0;3;13;0,00
2021-U14;80+;Uvaccinerede;13;0;34040;38,19
2021-U14;80+;1. stik;25;1;105147;23,78
2021-U14;80+;2. stik;13;2;120444;10,79
2021-U14;80+;3. stik;0;3;8;0,00
2021-U15;5-11;Uvaccinerede;523;0;436556;119,80
2021-U15;5-11;1. stik;0;1;2;0,00
2021-U15;5-11;2. stik;0;2;0;0,00
2021-U15;5-11;3. stik;0;3;0;0,00
2021-U15;12-15;Uvaccinerede;311;0;298942;104,03
2021-U15;12-15;1. stik;0;1;52;0,00
2021-U15;12-15;2. stik;0;2;31;0,00
2021-U15;12-15;3. stik;0;3;0;0,00
2021-U15;16-19;Uvaccinerede;496;0;275197;180,23
2021-U15;16-19;1. stik;3;1;2843;105,52
2021-U15;16-19;2. stik;0;2;1565;0,00
2021-U15;16-19;3. stik;0;3;0;0,00
2021-U15;20-39;Uvaccinerede;1692;0;1380574;122,56
2021-U15;20-39;1. stik;55;1;71698;76,71
2021-U15;20-39;2. stik;8;2;43296;18,48
2021-U15;20-39;3. stik;0;3;5;0,00
2021-U15;40-64;Uvaccinerede;1462;0;1653740;88,41
2021-U15;40-64;1. stik;65;1;142853;45,50
2021-U15;40-64;2. stik;26;2;110618;23,50
2021-U15;40-64;3. stik;0;3;14;0,00
2021-U15;65-79;Uvaccinerede;158;0;530277;29,80
2021-U15;65-79;1. stik;55;1;268823;20,46
2021-U15;65-79;2. stik;8;2;88270;9,06
2021-U15;65-79;3. stik;0;3;17;0,00
2021-U15;80+;Uvaccinerede;9;0;21446;41,97
2021-U15;80+;1. stik;8;1;109516;7,30
2021-U15;80+;2. stik;20;2;128669;15,54
2021-U15;80+;3. stik;0;3;8;0,00
2021-U16;5-11;Uvaccinerede;552;0;436556;126,44
2021-U16;5-11;1. stik;0;1;2;0,00
2021-U16;5-11;2. stik;0;2;0;0,00
2021-U16;5-11;3. stik;0;3;0;0,00
2021-U16;12-15;Uvaccinerede;359;0;298941;120,09
2021-U16;12-15;1. stik;0;1;31;0,00
2021-U16;12-15;2. stik;0;2;53;0,00
2021-U16;12-15;3. stik;0;3;0;0,00
2021-U16;16-19;Uvaccinerede;375;0;275021;136,35
2021-U16;16-19;1. stik;2;1;2803;71,35
2021-U16;16-19;2. stik;0;2;1780;0,00
2021-U16;16-19;3. stik;0;3;0;0,00
2021-U16;20-39;Uvaccinerede;1543;0;1378392;111,94
2021-U16;20-39;1. stik;43;1;70261;61,20
2021-U16;20-39;2. stik;11;2;46914;23,45
2021-U16;20-39;3. stik;0;3;6;0,00
2021-U16;40-64;Uvaccinerede;1489;0;1648470;90,33
2021-U16;40-64;1. stik;65;1;138543;46,92
2021-U16;40-64;2. stik;35;2;120193;29,12
2021-U16;40-64;3. stik;0;3;18;0,00
2021-U16;65-79;Uvaccinerede;132;0;395923;33,34
2021-U16;65-79;1. stik;78;1;390054;20,00
2021-U16;65-79;2. stik;12;2;101388;11,84
2021-U16;65-79;3. stik;0;3;21;0,00
2021-U16;80+;Uvaccinerede;5;0;18090;27,64
2021-U16;80+;1. stik;17;1;103406;16,44
2021-U16;80+;2. stik;18;2;138135;13,03
2021-U16;80+;3. stik;0;3;9;0,00
2021-U17;5-11;Uvaccinerede;477;0;436556;109,26
2021-U17;5-11;1. stik;0;1;3;0,00
2021-U17;5-11;2. stik;0;2;0;0,00
2021-U17;5-11;3. stik;0;3;0;0,00
2021-U17;12-15;Uvaccinerede;324;0;298938;108,38
